Month,Year,Rainfall,WPI
4,2012,47.5,116.1
5,2012,31.7,127.5
6,2012,117.8,130.7
7,2012,250.2,143.7
8,2012,262.4,149.9
9,2012,193.5,148.9
10,2012,58.7,145.5
11,2012,30.7,146
12,2012,11.7,139.4
1,2013,11.3,134
2,2013,40.1,124.1
3,2013,15.7,117.5
4,2013,30.4,118.8
5,2013,57.8,117
6,2013,219.8,113.6
7,2013,310,110
8,2013,254.7,107.9
9,2013,152.7,109.3
10,2013,129.4,111
11,2013,14,108.8
12,2013,6.7,107.3
1,2014,19.2,103.6
2,2014,27.4,101.7
3,2014,36.1,103.5
4,2014,22.2,102.8
5,2014,72.9,103.1
6,2014,95.4,99.6
7,2014,261.2,97.8
8,2014,237.5,100.4
9,2014,188,100.2
10,2014,60.2,100.8
11,2014,14.4,100.5
12,2014,10.7,102.6
1,2015,17.4,107.5
2,2015,21,109.4
3,2015,62,110.9
4,2015,69.4,115.3
5,2015,53.8,126.4
6,2015,192.8,135
7,2015,242.4,137.9
8,2015,205.2,142.3
9,2015,131.8,146.3
10,2015,42.9,153
11,2015,39.4,154.8
12,2015,15,153.8
1,2016,19.3,149.5
2,2016,22.8,145.8
3,2016,27.6,143.8
4,2016,37.4,159.1
5,2016,62.6,172.8
6,2016,168.3,188.5
7,2016,289.1,227.1
8,2016,256.3,225.7
9,2016,171.9,227.4
10,2016,76.1,262.3
11,2016,29.7,278.9
12,2016,14.9,270.3
1,2017,19,235.9
2,2017,22.6,200.4
3,2017,27.8,181.9
4,2017,37.9,183.4
5,2017,62.4,179.3
6,2017,168.1,174
7,2017,289.3,176
8,2017,256.2,176.7
9,2017,171.5,186.9
10,2017,76.3,177.9
11,2017,29.9,165
12,2017,15,152.9
1,2018,19.2,140.8
2,2018,20.1,134.7
3,2018,27.1,130.3
4,2018,40.2,127
5,2018,62.7,124.3
6,2018,165,121.6
7,2018,286.3,128.3
8,2018,254.3,135.7
9,2018,171.9,132.5
10,2018,77.2,135.7
11,2018,28.1,140.8
12,2018,14.1,146.7
4,2012,47.5,116.1
5,2012,31.7,127.5
6,2012,117.8,130.7
7,2012,250.2,143.7
8,2012,262.4,149.9
9,2012,193.5,148.9
10,2012,58.7,145.5
11,2012,30.7,146
12,2012,11.7,139.4
1,2013,11.3,134
2,2013,40.1,124.1
3,2013,15.7,117.5
4,2013,30.4,118.8
5,2013,57.8,117
6,2013,219.8,113.6
7,2013,310,110
8,2013,254.7,107.9
9,2013,152.7,109.3
10,2013,129.4,111
11,2013,14,108.8
12,2013,6.7,107.3
1,2014,19.2,103.6
2,2014,27.4,101.7
3,2014,36.1,103.5
4,2014,22.2,102.8
5,2014,72.9,103.1
6,2014,95.4,99.6
7,2014,261.2,97.8
8,2014,237.5,100.4
9,2014,188,100.2
10,2014,60.2,100.8
11,2014,14.4,100.5
12,2014,10.7,102.6
1,2015,17.4,107.5
2,2015,21,109.4
3,2015,62,110.9
4,2015,69.4,115.3
5,2015,53.8,126.4
6,2015,192.8,135
7,2015,242.4,137.9
8,2015,205.2,142.3
9,2015,131.8,146.3
10,2015,42.9,153
11,2015,39.4,154.8
12,2015,15,153.8
1,2016,19.3,149.5
2,2016,22.8,145.8
3,2016,27.6,143.8
4,2016,37.4,159.1
5,2016,62.6,172.8
6,2016,168.3,188.5
7,2016,289.1,227.1
8,2016,256.3,225.7
9,2016,171.9,227.4
10,2016,76.1,262.3
11,2016,29.7,278.9
12,2016,14.9,270.3
1,2017,19,235.9
2,2017,22.6,200.4
3,2017,27.8,181.9
4,2017,37.9,183.4
5,2017,62.4,179.3
6,2017,168.1,174
7,2017,289.3,176
8,2017,256.2,176.7
9,2017,171.5,186.9
10,2017,76.3,177.9
11,2017,29.9,165
12,2017,15,152.9
1,2018,19.2,140.8
2,2018,20.1,134.7
3,2018,27.1,130.3
4,2018,40.2,127
5,2018,62.7,124.3
6,2018,165,121.6
7,2018,286.3,128.3
8,2018,254.3,135.7
9,2018,171.9,132.5
10,2018,77.2,135.7
11,2018,28.1,140.8
12,2018,14.1,146.7
1, 2019, 46.4,147.4
2, 2019, 50.0,146.5
3, 2019, 48.2,141.5
4, 2019, 50.0,144.1
5, 2019, 46.8,146.2
10, 2019, 50.0,146.6
11, 2019, 43.5,148.3
12, 2019, 50.0,146.3
1, 2020, 45.0,145.6
2, 2020, 50.0,142.0
3, 2020, 48.9,138.5
4, 2020, 50.0,146.7
5, 2020, 50.0,144.8
10, 2020, 49.5,163.6
11, 2020, 47.0,164.3
12, 2020, 45.2,159.8
1, 2021, 50.0,155.6
2, 2021, 49.3,156.3
3, 2021, 46.8,159.6
4, 2021, 50.0,165.1
5, 2021, 50.0,171.5
10, 2021, 50.0,170.9
11, 2021, 50.0,168.8
12, 2021, 45.7,166.0
1, 2022, 47.5,165.4
2, 2022, 50.0,163.4
3, 2022, 46.1,165.9
4, 2022, 50.0,164.8
5, 2022, 50.0,162.0
10, 2022, 48.4,162.0
11, 2022, 49.8,161.2
12, 2022, 50.0,162.9
